9-F-19(n,&gamma;) ENDF/B-VII.1
600780.0,0.0014832
602228.0,0.00114161
603400.0,9.28269E-4
604615.0,7.5907E-4
605810.0,6.369E-4
606620.0,5.6175E-4
609340.0,3.97887E-4
610405.0,3.56186E-4
613240.0,2.68051E-4
617750.0,1.91137E-4
620000.0,1.71716E-4
620280.0,1.70907E-4
621270.0,1.76162E-4
623940.0,2.48279E-4
626436.0,1.27994E-4
626792.0,1.244E-4
635350.0,8.85586E-5
641110.0,7.71358E-5
648450.0,6.79522E-5
661270.0,5.96473E-5
667690.0,5.78506E-5
677770.0,5.77345E-5
685240.0,5.98807E-5
696490.0,6.79965E-5
703970.0,7.84531E-5
711080.0,9.47655E-5
716080.0,1.1357E-4
720669.0,1.33225E-4
726535.0,1.69469E-4
735560.0,2.34452E-4
740000.0,2.53089E-4
744215.0,2.49814E-4
749600.0,2.21975E-4
759090.0,1.56585E-4
766760.0,1.20769E-4
771620.0,1.08215E-4
774320.0,1.0372E-4
780000.0,1.02588E-4
785090.0,1.12674E-4
790468.0,1.40848E-4
797570.0,1.96443E-4
800000.0,2.01312E-4
803465.0,1.82066E-4
810000.0,1.21626E-4
812350.0,1.05215E-4
820000.0,7.4215E-5
825510.0,6.52293E-5
830000.0,6.33231E-5
833850.0,6.5705E-5
840000.0,8.23428E-5
841600.0,9.16687E-5
844380.0,1.18654E-4
847300.0,1.77989E-4
848920.0,2.42817E-4
850000.0,3.139E-4
852570.0,7.04627E-4
854710.0,0.00169029
855785.0,0.00196134
856860.0,0.00219228
858420.0,0.00124675
859390.0,8.33666E-4
860092.0,6.37308E-4
860491.0,5.56637E-4
861340.0,4.22015E-4
863100.0,2.6491E-4
863820.0,2.2742E-4
864660.0,1.91568E-4
866800.0,1.35452E-4
870000.0,9.30202E-5
870900.0,8.56007E-5
878170.0,5.47686E-5
880000.0,5.10702E-5
890000.0,4.12754E-5
897180.0,3.96848E-5
902025.0,4.05346E-5
910100.0,4.34076E-5
920000.0,5.26961E-5
923785.0,6.01017E-5
926760.0,7.16652E-5
930000.0,1.08506E-4
930770.0,1.13124E-4
935385.0,6.78234E-5
940000.0,6.10889E-5
949880.0,5.33675E-5
964505.0,3.89915E-5
971795.0,3.34727E-5
980280.0,2.85392E-5
992025.0,2.40362E-5
1000000.0,2.18505E-5
1010000.0,4.53381E-5
1017100.0,4.10281E-5
1030000.0,3.82767E-5
1040000.0,4.09685E-5
1050000.0,4.82512E-5
1060000.0,6.02047E-5
1075600.0,8.60868E-5
1093250.0,1.16402E-4
1104400.0,1.30225E-4
1118000.0,1.37321E-4
1120000.0,1.37516E-4
1141350.0,1.31413E-4
1160000.0,1.25669E-4
1170000.0,1.2708E-4
1180000.0,1.33094E-4
1191200.0,1.4618E-4
1203000.0,1.67827E-4
1220000.0,2.12148E-4
1249050.0,2.98053E-4
1262900.0,3.23708E-4
1273500.0,3.30596E-4
1287600.0,3.19249E-4
1302500.0,2.85469E-4
1346700.0,1.44863E-4
1362150.0,1.06682E-4
1372300.0,8.72923E-5
1380000.0,7.52294E-5
1392900.0,6.07369E-5
1402380.0,5.37767E-5
1412000.0,4.86794E-5
1425000.0,4.51633E-5
1439000.0,4.36808E-5
1442000.0,4.36091E-5
1462000.0,4.49836E-5
1490000.0,5.01712E-5
1530100.0,6.22073E-5
1573000.0,7.56362E-5
1603900.0,8.07144E-5
1631350.0,7.91394E-5
1663400.0,7.08984E-5
1728050.0,4.76643E-5
1754100.0,4.09633E-5
1783300.0,3.71458E-5
1800000.0,3.67535E-5
1827400.0,3.92092E-5
1859280.0,4.68093E-5
1893140.0,5.89403E-5
1941750.0,7.74544E-5
1981750.0,8.69722E-5
2000000.0,8.84804E-5
2.0E7,8.8486E-6
