82-Pb-204(n,elastic) ENDF/B-VII.1
12765.5,0.0134386
12766.5,0.0103717
12767.3,0.00858389
12768.0,0.00751943
12768.7,0.00679595
12769.4,0.00659733
12770.1,0.00682423
12770.7,0.00748917
12771.4,0.00860458
12772.3,0.0106839
12773.1,0.0137047
12774.1,0.0180544
12775.2,0.0240834
12776.5,0.0336047
12778.0,0.0463171
12779.6,0.0639428
12781.6,0.0906184
12783.7,0.126744
12786.0,0.175047
12788.5,0.23918
12791.4,0.329114
12794.6,0.453875
12798.2,0.626889
12802.1,0.866388
12806.4,1.19795
12810.7,1.61841
12815.0,2.14764
12819.8,2.90417
12824.7,3.8751
12829.5,5.11927
12834.3,6.71388
12839.1,8.76101
12844.0,11.396
12848.8,14.7994
12853.6,19.2118
12858.5,24.9525
12863.3,32.4387
12868.1,42.1979
12873.2,55.4715
12878.2,72.4389
12884.2,98.5297
12899.0,175.339
12904.7,193.77
12909.3,198.226
12915.9,189.653
12938.2,120.852
12947.7,98.4634
12958.4,80.0828
12971.0,65.1393
12985.3,53.5169
12999.6,45.4764
13017.5,38.4735
13038.9,32.7465
13063.3,28.3243
13097.6,24.1777
13143.4,20.6956
13200.6,18.004
13283.6,15.671
13364.8,14.3297
13369.3,14.7013
13370.3,15.3098
13371.1,16.5315
13372.1,19.0284
13374.0,26.4737
13374.9,27.9567
13375.0,27.9814
13375.8,27.0556
13376.9,23.2739
13378.2,18.2885
13378.9,16.6259
13379.9,15.1266
13381.7,14.3845
13391.0,13.9656
13536.2,12.5325
13787.3,11.2301
14302.7,9.88544
14603.4,9.05172
14695.7,8.3752
14739.3,7.60044
14761.2,6.81948
14775.7,5.90476
14785.4,4.91372
14791.5,4.00294
14796.4,3.01711
14800.3,2.01609
14804.2,0.882565
14805.2,0.640185
14805.8,0.523052
14806.2,0.476432
14806.6,0.449816
14806.8,0.445811
14807.1,0.462363
14807.5,0.51008
14807.7,0.574169
14808.0,0.6784
14808.3,0.834618
14808.6,1.0375
14809.0,1.3456
14809.3,1.75475
14809.6,2.28917
14810.0,2.97681
14810.3,3.94267
14810.7,5.18378
14811.1,6.76119
14811.5,9.11639
14811.9,12.1373
14812.4,16.2465
14812.9,21.9577
14813.5,30.4589
14814.2,43.1209
14816.3,87.3842
14817.1,100.108
14817.9,106.17
14818.1,106.757
14818.9,104.402
14820.2,91.2361
14822.3,64.6023
14823.4,53.2189
14824.6,44.5489
14826.2,37.181
14827.7,32.23
14829.8,27.6046
14832.0,24.4374
14835.6,21.0408
14840.8,18.2112
14848.1,15.9663
14859.4,14.1234
14877.7,12.6612
14909.2,11.5449
14967.5,10.7168
15110.7,10.0282
15559.6,9.39975
15928.0,9.144
15934.9,9.24407
15937.0,9.75661
15939.7,10.8324
15940.0,10.8614
15941.4,10.5317
15943.1,9.753
15945.3,9.2536
15994.5,9.10971
17424.9,8.50267
17438.7,8.63269
17440.1,8.97537
17441.5,9.82326
17444.2,12.7979
17445.0,13.0946
17446.1,12.5682
17448.7,9.77479
17449.8,9.05631
17450.9,8.72708
17453.8,8.54304
17598.9,8.4402
17628.1,8.59315
17630.8,8.76396
17632.7,9.16063
17633.9,9.84957
17634.7,10.8702
17635.4,12.4146
17636.1,14.7697
17637.1,19.0171
17638.8,28.1624
17639.5,30.6523
17640.0,31.1732
17640.7,30.3072
17641.6,26.8739
17643.4,17.0852
17644.2,13.8419
17645.1,11.6811
17645.8,10.4658
17646.7,9.6593
17648.0,9.14296
17650.9,8.76579
17661.8,8.51195
18446.0,7.98024
18483.1,7.71839
18493.7,7.33472
18497.4,6.89432
18500.7,6.20968
18501.1,6.20194
18502.1,6.48241
18502.9,7.11177
18504.1,8.67792
18505.5,10.8566
18506.5,11.6431
18507.2,11.7927
18508.3,11.4045
18511.0,9.85483
18513.9,9.14525
18520.1,8.67082
18539.8,8.32555
18755.3,7.83656
18774.1,7.56834
18781.4,7.13025
18784.9,6.6415
18785.9,6.80748
18786.8,7.37633
18787.7,8.50212
18790.0,12.7294
18790.8,13.5216
18791.2,13.6217
18791.9,13.4545
18793.6,11.6812
18795.1,10.2548
18796.9,9.3506
18800.3,8.79778
18811.4,8.37379
18865.2,8.08951
19529.8,7.44017
19639.1,7.02487
19682.5,6.52111
19704.2,5.90712
19715.1,5.2981
19721.7,4.67458
19727.0,3.90425
19730.6,3.15188
19733.4,2.33898
19736.1,1.45106
19736.8,1.2698
19737.3,1.22551
19737.7,1.24804
19738.1,1.33376
19738.4,1.50004
19738.7,1.74935
19739.1,2.11101
19739.4,2.648
19739.8,3.3983
19740.1,4.3834
19740.5,5.85385
19741.0,7.8388
19741.5,10.8596
19742.0,14.9202
19742.9,22.5038
19744.5,37.3189
