energy_eV,xs_barns
2.00586000E-05,6.55644000E-04
2.01171900E-05,6.54688500E-04
2.01757900E-05,6.53737100E-04
2.02343800E-05,6.52789900E-04
2.02929800E-05,6.51846700E-04
2.03515700E-05,6.50907700E-04
2.04101600E-05,6.49972800E-04
2.04687500E-05,6.49041900E-04
2.05273500E-05,6.48114800E-04
2.05859400E-05,6.47191900E-04
2.06445400E-05,6.46272700E-04
2.07031300E-05,6.45357600E-04
2.07617300E-05,6.44446200E-04
2.08203200E-05,6.43538800E-04
2.08789100E-05,6.42635200E-04
2.09375000E-05,6.41735400E-04
2.09961000E-05,6.40839200E-04
2.10546900E-05,6.39947000E-04
2.11132900E-05,6.39058300E-04
2.11718800E-05,6.38173400E-04
2.12304800E-05,6.37292100E-04
2.12890700E-05,6.36414500E-04
2.13476600E-05,6.35540600E-04
2.14062500E-05,6.34670200E-04
2.14648500E-05,6.33803300E-04
2.15234400E-05,6.32940100E-04
2.15820400E-05,6.32080200E-04
2.16406300E-05,6.31224000E-04
2.16992300E-05,6.30371100E-04
2.17578200E-05,6.29521800E-04
2.18164100E-05,6.28675900E-04
2.18750000E-05,6.27833400E-04
2.19336000E-05,6.26994200E-04
2.19921900E-05,6.26158400E-04
2.20507900E-05,6.25325800E-04
2.21093800E-05,6.24496700E-04
2.21679800E-05,6.23670800E-04
2.22265700E-05,6.22848200E-04
2.22851600E-05,6.22028900E-04
2.23437500E-05,6.21212900E-04
2.24023500E-05,6.20399800E-04
2.24609400E-05,6.19590200E-04
2.25195400E-05,6.18783500E-04
2.25781300E-05,6.17980100E-04
2.26367300E-05,6.17179700E-04
2.26953200E-05,6.16382500E-04
2.27539100E-05,6.15588500E-04
2.28125000E-05,6.14797400E-04
2.28711000E-05,6.14009300E-04
2.29296900E-05,6.13224400E-04
2.29882900E-05,6.12442300E-04
2.30468800E-05,6.11663300E-04
2.31054800E-05,6.10887200E-04
2.31640700E-05,6.10114100E-04
2.32226600E-05,6.09344000E-04
2.32812500E-05,6.08576700E-04
2.33398500E-05,6.07812300E-04
2.33984400E-05,6.07050800E-04
2.34570400E-05,6.06292100E-04
2.35156300E-05,6.05536300E-04
2.35742300E-05,6.04783200E-04
2.36328200E-05,6.04033100E-04
2.36914100E-05,6.03285700E-04
2.37500000E-05,6.02541100E-04
2.38086000E-05,6.01799200E-04
2.38671900E-05,6.01060100E-04
2.39257900E-05,6.00323600E-04
2.39843800E-05,5.99589900E-04
2.40429800E-05,5.98858700E-04
2.41015700E-05,5.98130400E-04
2.41601600E-05,5.97404700E-04
2.42187500E-05,5.96681600E-04
2.42773500E-05,5.95961100E-04
2.43359400E-05,5.95243200E-04
2.43945400E-05,5.94527900E-04
2.44531300E-05,5.93815200E-04
2.45117300E-05,5.93105000E-04
2.45703200E-05,5.92397400E-04
2.46289100E-05,5.91692400E-04
2.46875000E-05,5.90989800E-04
2.47461000E-05,5.90289700E-04
2.48046900E-05,5.89592100E-04
2.48632900E-05,5.88896900E-04
2.49218800E-05,5.88204300E-04
2.49804800E-05,5.87513900E-04
2.50390700E-05,5.86826200E-04
2.50976600E-05,5.86140800E-04
2.51562500E-05,5.85457800E-04
2.52148500E-05,5.84777100E-04
2.52734400E-05,5.84098900E-04
2.53320400E-05,5.83422900E-04
2.53906300E-05,5.82749400E-04
2.54492300E-05,5.82078100E-04
2.55078200E-05,5.81409200E-04
2.55664100E-05,5.80742600E-04
2.56250000E-05,5.80078300E-04
2.56836000E-05,5.79416200E-04
2.57421900E-05,5.78756500E-04
2.58007900E-05,5.78098800E-04
2.58593800E-05,5.77443600E-04
2.59765700E-05,5.76139600E-04
2.60351600E-05,5.75490900E-04
2.60937500E-05,5.74844500E-04
2.62109400E-05,5.73558000E-04
2.63281300E-05,5.72280100E-04
2.64453200E-05,5.71010600E-04
2.65625000E-05,5.69749800E-04
2.66796900E-05,5.68497100E-04
2.67968800E-05,5.67252600E-04
2.68554800E-05,5.66633400E-04
2.69140700E-05,5.66016300E-04
2.70312500E-05,5.64788100E-04
2.71484400E-05,5.63567800E-04
2.72070400E-05,5.62960600E-04
2.72656300E-05,5.62355400E-04
2.73828200E-05,5.61150800E-04
2.75000000E-05,5.59953900E-04
2.76171900E-05,5.58764600E-04
2.77343800E-05,5.57582900E-04
2.78515700E-05,5.56408600E-04
2.79687500E-05,5.55241800E-04
2.80859400E-05,5.54082200E-04
2.82031300E-05,5.52929800E-04
2.83203200E-05,5.51784600E-04
2.84375000E-05,5.50646600E-04
2.85546900E-05,5.49515500E-04
2.86718800E-05,5.48391400E-04
2.87890700E-05,5.47274100E-04
2.89062500E-05,5.46163700E-04
2.90234400E-05,5.45059900E-04
2.91406300E-05,5.43962900E-04
2.92578200E-05,5.42872400E-04
2.93750000E-05,5.41788500E-04
2.94921900E-05,5.40711000E-04
2.96093800E-05,5.39639900E-04
2.97265700E-05,5.38575200E-04
2.98437500E-05,5.37516800E-04
2.99609400E-05,5.36464600E-04
3.00781300E-05,5.35418500E-04
3.01953200E-05,5.34378500E-04
3.03125000E-05,5.33344600E-04
3.04296900E-05,5.32316600E-04
3.05468800E-05,5.31294500E-04
3.06640700E-05,5.30278300E-04
3.07812500E-05,5.29268000E-04
3.08984400E-05,5.28263400E-04
3.10156300E-05,5.27264400E-04
3.11328200E-05,5.26271100E-04
3.12500000E-05,5.25283500E-04
3.13671900E-05,5.24301400E-04
3.14843800E-05,5.23324700E-04
3.16015700E-05,5.22353500E-04
3.17187500E-05,5.21387700E-04
3.18359400E-05,5.20427200E-04
3.19531300E-05,5.19472000E-04
3.20703200E-05,5.18522000E-04
3.21875000E-05,5.17577300E-04
3.23046900E-05,5.16637600E-04
3.24218800E-05,5.15703100E-04
3.25390700E-05,5.14773600E-04
3.26562500E-05,5.13849200E-04
3.27734400E-05,5.12929700E-04
3.28906300E-05,5.12015100E-04
3.30078200E-05,5.11105400E-04
3.31250000E-05,5.10200500E-04
3.32421900E-05,5.09300400E-04
3.33593800E-05,5.08405100E-04
3.34765700E-05,5.07514400E-04
3.35937500E-05,5.06628500E-04
3.37109400E-05,5.05747200E-04
3.38281300E-05,5.04870400E-04
3.39453200E-05,5.03998100E-04
3.40625000E-05,5.03130500E-04
3.41796900E-05,5.02267200E-04
3.42968800E-05,5.01408400E-04
3.44140700E-05,5.00553900E-04
3.45312500E-05,4.99703900E-04
3.46484400E-05,4.98858200E-04
3.47656300E-05,4.98016700E-04
3.48828200E-05,4.97179400E-04
3.50000000E-05,4.96346400E-04
3.51171900E-05,4.95517600E-04
3.52343800E-05,4.94692800E-04
3.53515700E-05,4.93872200E-04
3.54687500E-05,4.93055700E-04
3.55859400E-05,4.92243200E-04
3.57031300E-05,4.91434700E-04
3.58203200E-05,4.90630100E-04
3.59375000E-05,4.89829600E-04
3.60546900E-05,4.89032900E-04
3.61718800E-05,4.88240100E-04
3.62890700E-05,4.87451100E-04
3.64062500E-05,4.86666000E-04
3.65234400E-05,4.85884600E-04
3.66406300E-05,4.85107000E-04
3.67578200E-05,4.84333100E-04
3.68750000E-05,4.83562900E-04
3.69921900E-05,4.82796400E-04
3.71093800E-05,4.82033400E-04
3.72265700E-05,4.81274100E-04
3.73437500E-05,4.80518400E-04
3.74609400E-05,4.79766200E-04
3.75781300E-05,4.79017600E-04
3.76953200E-05,4.78272400E-04
3.78125000E-05,4.77530700E-04
3.79296900E-05,4.76792500E-04
3.80468800E-05,4.76057600E-04
3.81640700E-05,4.75326100E-04
3.82812500E-05,4.74598100E-04
3.83984400E-05,4.73873300E-04
3.85156300E-05,4.73151900E-04
3.86328200E-05,4.72433700E-04
3.87500000E-05,4.71718800E-04
3.88671900E-05,4.71007200E-04
3.89843800E-05,4.70298700E-04
3.91015700E-05,4.69593400E-04
3.92187500E-05,4.68891300E-04
3.93359400E-05,4.68192400E-04
3.94531300E-05,4.67496500E-04
3.95703200E-05,4.66803700E-04
3.96875000E-05,4.66114100E-04
3.98046900E-05,4.65427400E-04
3.99218800E-05,4.64743800E-04
4.00390700E-05,4.64063200E-04
4.01562500E-05,4.63385600E-04
4.02734400E-05,4.62710900E-04
4.03906300E-05,4.62039200E-04
4.05078200E-05,4.61370400E-04
4.06250000E-05,4.60704500E-04
4.07421900E-05,4.60041400E-04
4.08593800E-05,4.59381200E-04
4.09765700E-05,4.58723900E-04
4.10937500E-05,4.58069400E-04
4.12109400E-05,4.57417600E-04
4.13281300E-05,4.56768600E-04
4.14453200E-05,4.56122400E-04
4.15625000E-05,4.55479000E-04
4.16796900E-05,4.54838200E-04
4.17968800E-05,4.54200100E-04
4.19140700E-05,4.53564700E-04
4.20312500E-05,4.52932000E-04
4.21484400E-05,4.52301900E-04
4.22656300E-05,4.51674500E-04
4.23828200E-05,4.51049600E-04
4.25000000E-05,4.50427300E-04
4.26171900E-05,4.49807600E-04
4.27343800E-05,4.49190400E-04
4.28515700E-05,4.48575800E-04
4.29687500E-05,4.47963700E-04
4.30859400E-05,4.47354100E-04
4.32031300E-05,4.46747000E-04
4.33203200E-05,4.46142300E-04
4.34375000E-05,4.45540100E-04
4.35546900E-05,4.44940300E-04
4.36718800E-05,4.44343000E-04
