energy_eV,xs_barns
1.00390700E-04,3.72749200E-03
1.00781300E-04,3.72026100E-03
1.01171900E-04,3.71307300E-03
1.01562500E-04,3.70592600E-03
1.01953200E-04,3.69881800E-03
1.02343800E-04,3.69175300E-03
1.02734400E-04,3.68472800E-03
1.03125000E-04,3.67774400E-03
1.03515700E-04,3.67079700E-03
1.03906300E-04,3.66389100E-03
1.04296900E-04,3.65702300E-03
1.04687500E-04,3.65019500E-03
1.05078200E-04,3.64340200E-03
1.05468800E-04,3.63664900E-03
1.05859400E-04,3.62993400E-03
1.06250000E-04,3.62325600E-03
1.06640700E-04,3.61661200E-03
1.07031300E-04,3.61000700E-03
1.07421900E-04,3.60343800E-03
1.07812500E-04,3.59690400E-03
1.08593800E-04,3.58394200E-03
1.09375000E-04,3.57112000E-03
1.10156300E-04,3.55843300E-03
1.10937500E-04,3.54588200E-03
1.11718800E-04,3.53346100E-03
1.12500000E-04,3.52117200E-03
1.13281300E-04,3.50900800E-03
1.14062500E-04,3.49697100E-03
1.14843800E-04,3.48505500E-03
1.15625000E-04,3.47326200E-03
1.16406300E-04,3.46158700E-03
1.17187500E-04,3.45003000E-03
1.17968800E-04,3.43858600E-03
1.18750000E-04,3.42725700E-03
1.19531300E-04,3.41603800E-03
1.20312500E-04,3.40492900E-03
1.21093800E-04,3.39392700E-03
1.21875000E-04,3.38303300E-03
1.22656300E-04,3.37224100E-03
1.23437500E-04,3.36155300E-03
1.24218800E-04,3.35096500E-03
1.25000000E-04,3.34047700E-03
1.25781300E-04,3.33008600E-03
1.26562500E-04,3.31979300E-03
1.27343800E-04,3.30959300E-03
1.28125000E-04,3.29948800E-03
1.28906300E-04,3.28947400E-03
1.29687500E-04,3.27955200E-03
1.30468800E-04,3.26971700E-03
1.31250000E-04,3.25997200E-03
1.32031300E-04,3.25031200E-03
1.32812500E-04,3.24073900E-03
1.33593800E-04,3.23124900E-03
1.34375000E-04,3.22184200E-03
1.35156300E-04,3.21251700E-03
1.35937500E-04,3.20327300E-03
1.36718800E-04,3.19410700E-03
1.37500000E-04,3.18502000E-03
1.38281300E-04,3.17601000E-03
1.39062500E-04,3.16707600E-03
1.39843800E-04,3.15821700E-03
1.40625000E-04,3.14943200E-03
1.41406300E-04,3.14072000E-03
1.42187500E-04,3.13208000E-03
1.42968800E-04,3.12351000E-03
1.43750000E-04,3.11501100E-03
1.44531300E-04,3.10658100E-03
1.45312500E-04,3.09821900E-03
1.46093800E-04,3.08992300E-03
1.46875000E-04,3.08169500E-03
1.47656300E-04,3.07353100E-03
1.48437500E-04,3.06543300E-03
1.49218800E-04,3.05739700E-03
1.50000000E-04,3.04942500E-03
1.50781300E-04,3.04151400E-03
1.51562500E-04,3.03366600E-03
1.52343800E-04,3.02587700E-03
1.53125000E-04,3.01814800E-03
1.53906300E-04,3.01047800E-03
1.54687500E-04,3.00286600E-03
1.55468800E-04,2.99531100E-03
1.56250000E-04,2.98781400E-03
1.57031300E-04,2.98037200E-03
1.57812500E-04,2.97298600E-03
1.58593800E-04,2.96565400E-03
1.59375000E-04,2.95837700E-03
1.60156300E-04,2.95115200E-03
1.60937500E-04,2.94398100E-03
1.61718800E-04,2.93686100E-03
1.62500000E-04,2.92979300E-03
