82-Pb-208(n,&gamma;) ENDF/B-VII.1
151669.0,3.71551E-5
151949.0,4.20069E-5
152150.0,4.80433E-5
152279.0,5.40785E-5
152430.0,6.50739E-5
152538.0,7.7468E-5
152614.0,9.01572E-5
152678.0,1.05288E-4
152743.0,1.2654E-4
152800.0,1.53145E-4
152847.0,1.8446E-4
152894.0,2.28738E-4
152935.0,2.83772E-4
152968.0,3.48881E-4
152999.0,4.31264E-4
153026.0,5.34295E-4
153049.0,6.60613E-4
153070.0,8.16439E-4
153089.0,0.00101132
153106.0,0.00125511
153120.0,0.00153762
153133.0,0.00188675
153144.0,0.00232804
153156.0,0.00290621
153165.0,0.003587
153173.0,0.00438107
153181.0,0.00545381
153188.0,0.00668419
153194.0,0.00819022
153199.0,0.0101685
153205.0,0.0127396
153209.0,0.0159986
153213.0,0.0199333
153217.0,0.0243811
153220.0,0.0305817
153223.0,0.0380005
153225.0,0.047722
153227.0,0.0586048
153230.0,0.0738267
153231.0,0.0915701
153233.0,0.117171
153235.0,0.150061
153237.0,0.196649
153240.0,0.266506
153246.0,0.470166
153248.0,0.52839
153250.0,0.543598
153252.0,0.528348
153255.0,0.47314
153262.0,0.23706
153264.0,0.178085
153266.0,0.134569
153268.0,0.10586
153270.0,0.0838837
153272.0,0.0680557
153274.0,0.0550015
153276.0,0.0439873
153279.0,0.0352577
153282.0,0.0280783
153285.0,0.0228451
153289.0,0.0184546
153293.0,0.0147886
153298.0,0.0118791
153303.0,0.00950432
153309.0,0.00774634
153315.0,0.00624994
153323.0,0.00498142
153331.0,0.00398644
153340.0,0.00323333
153351.0,0.00257665
153363.0,0.00206579
153376.0,0.00165011
153391.0,0.00133082
153407.0,0.00107439
153423.0,8.87463E-4
153444.0,7.09335E-4
153466.0,5.8102E-4
153493.0,4.64315E-4
153520.0,3.80981E-4
153553.0,3.06527E-4
153590.0,2.49755E-4
153630.0,2.05088E-4
153679.0,1.66978E-4
153735.0,1.36246E-4
153795.0,1.13815E-4
153870.0,9.40552E-5
153962.0,7.79425E-5
154048.0,6.7595E-5
154168.0,5.78219E-5
154321.0,4.97709E-5
154512.0,4.3686E-5
154780.0,3.85601E-5
155162.0,3.46539E-5
155774.0,3.19098E-5
156539.0,3.05042E-5
157763.0,2.9997E-5
159709.0,3.108E-5
160912.0,3.33125E-5
161635.0,3.66162E-5
162056.0,4.07961E-5
162296.0,4.51559E-5
162507.0,5.16415E-5
162658.0,5.91557E-5
162778.0,6.89273E-5
162872.0,8.06604E-5
162957.0,9.69138E-5
163025.0,1.16385E-4
163076.0,1.3755E-4
163127.0,1.67902E-4
163171.0,2.06852E-4
163209.0,2.55319E-4
163241.0,3.12977E-4
163270.0,3.86827E-4
163295.0,4.80175E-4
163318.0,5.95994E-4
163337.0,7.35414E-4
163354.0,9.08038E-4
163370.0,0.00113841
163383.0,0.00139778
163395.0,0.00174382
163406.0,0.00215437
163415.0,0.00264906
163424.0,0.00327148
163431.0,0.00401962
163438.0,0.00493093
163444.0,0.00613835
163450.0,0.00762945
163454.0,0.00940637
163459.0,0.0117481
163463.0,0.0143947
163466.0,0.0176051
163469.0,0.0215944
163472.0,0.027002
163474.0,0.0328883
163476.0,0.0411087
163478.0,0.0509751
163480.0,0.0633934
163482.0,0.080305
163483.0,0.102096
163485.0,0.130808
163487.0,0.175086
163489.0,0.236697
163493.0,0.372479
163496.0,0.486424
163499.0,0.540745
163500.0,0.551717
163503.0,0.530782
163505.0,0.472761
163512.0,0.233749
163514.0,0.172771
163516.0,0.130075
163517.0,0.101506
163519.0,0.0798861
163521.0,0.0630789
163523.0,0.0498012
163525.0,0.0402634
163527.0,0.0322893
163529.0,0.0265649
163532.0,0.0217879
163535.0,0.0175026
163538.0,0.013975
163542.0,0.0114409
163547.0,0.00923269
163552.0,0.00737578
163557.0,0.00600257
163564.0,0.00484212
163571.0,0.00386459
163578.0,0.00315797
163587.0,0.00255114
163597.0,0.00208297
163608.0,0.00165957
163621.0,0.00133211
163634.0,0.0010952
163648.0,8.93005E-4
163667.0,7.16149E-4
163685.0,5.85752E-4
163707.0,4.75678E-4
163732.0,3.84235E-4
163761.0,3.11797E-4
163793.0,2.55241E-4
163831.0,2.07617E-4
163876.0,1.69407E-4
163924.0,1.40731E-4
163975.0,1.198E-4
164043.0,1.00707E-4
164128.0,8.49853E-5
164235.0,7.27331E-5
164358.0,6.41793E-5
164505.0,5.82808E-5
164700.0,5.40569E-5
165043.0,5.19756E-5
165410.0,5.40319E-5
165728.0,5.84672E-5
166028.0,6.60022E-5
166227.0,7.33932E-5
166377.0,8.07659E-5
166577.0,9.40558E-5
166751.0,1.11339E-4
166901.0,1.32803E-4
167026.0,1.57891E-4
167138.0,1.90539E-4
167250.0,2.37089E-4
167343.0,2.93256E-4
167420.0,3.62066E-4
167490.0,4.49834E-4
167548.0,5.5638E-4
167600.0,6.90424E-4
167645.0,8.58127E-4
167684.0,0.0010614
167717.0,0.00129564
167749.0,0.00162613
167775.0,0.00199829
167799.0,0.002485
167818.0,0.00300539
167838.0,0.00374133
167855.0,0.00464187
167870.0,0.00575235
167883.0,0.00710578
167895.0,0.0086997
167906.0,0.0109136
167916.0,0.0135797
167924.0,0.0168861
167932.0,0.0209683
167938.0,0.0256638
167944.0,0.0314121
167950.0,0.0386197
167955.0,0.0482375
167959.0,0.0603582
167963.0,0.0749731
167966.0,0.0918671
167969.0,0.113797
167972.0,0.138193
167974.0,0.169501
167976.0,0.205102
167978.0,0.255134
167980.0,0.318144
167981.0,0.404017
167983.0,0.514254
167985.0,0.659084
167987.0,0.88086
167989.0,1.18624
167995.0,2.24826
167998.0,2.53704
168000.0,2.63863
168002.0,2.56642
168005.0,2.28414
168012.0,1.11634
168014.0,0.831469
168016.0,0.626335
168017.0,0.479774
168019.0,0.382328
168021.0,0.308541
168023.0,0.24348
168024.0,0.200614
168026.0,0.162852
168029.0,0.133101
168031.0,0.110078
168034.0,0.0898781
168037.0,0.0737812
168041.0,0.0598762
168045.0,0.0489013
168050.0,0.040018
168055.0,0.0329947
168060.0,0.0268125
168067.0,0.0216072
168075.0,0.0175479
168083.0,0.0141107
168093.0,0.0112934
168104.0,0.00913394
168117.0,0.00733969
168130.0,0.00605193
168145.0,0.00493894
168162.0,0.00412043
168180.0,0.00345049
168200.0,0.00296693
168222.0,0.00261307
168243.0,0.00238943
168275.0,0.00224082
168286.0,0.0022354
168311.0,0.00230617
168335.0,0.00250666
168354.0,0.00279146
168374.0,0.00323655
168391.0,0.00383253
168406.0,0.00459317
168419.0,0.00551956
168431.0,0.00675222
168441.0,0.00816871
168451.0,0.010112
168459.0,0.0123497
168467.0,0.0153965
168474.0,0.0192621
168481.0,0.0240089
168486.0,0.0300819
168492.0,0.0379466
168496.0,0.0469799
168500.0,0.0585102
168504.0,0.0726781
168508.0,0.0936358
168512.0,0.121064
168517.0,0.167453
168524.0,0.235196
168528.0,0.261954
168531.0,0.267882
168535.0,0.256021
168540.0,0.219849
168549.0,0.137644
168553.0,0.103459
168557.0,0.0816774
168561.0,0.0652341
168564.0,0.0528925
168569.0,0.0422369
168574.0,0.0334624
168579.0,0.0272137
168584.0,0.0219015
168591.0,0.0173878
168598.0,0.0139984
168606.0,0.0113875
168615.0,0.00908806
168625.0,0.00733815
168637.0,0.00591429
168648.0,0.00484734
168663.0,0.00389921
168678.0,0.00315641
168696.0,0.00256464
168717.0,0.00205699
168740.0,0.00168013
168766.0,0.00136597
168795.0,0.00112172
168831.0,9.12188E-4
168867.0,7.66895E-4
168910.0,6.46516E-4
168962.0,5.52474E-4
169011.0,5.01267E-4
169064.0,4.79585E-4
169067.0,4.79465E-4
169104.0,4.89311E-4
169144.0,5.3005E-4
169171.0,5.86183E-4
169199.0,6.80271E-4
169219.0,7.91316E-4
169238.0,9.45793E-4
169253.0,0.00112041
169267.0,0.00135571
169279.0,0.00162969
169290.0,0.00201859
169299.0,0.00244972
169308.0,0.00302303
169315.0,0.00369583
169323.0,0.00462136
169329.0,0.00578416
169334.0,0.00721162
169339.0,0.00901765
169344.0,0.0112691
169347.0,0.0138335
169351.0,0.0170407
169354.0,0.0213019
169357.0,0.0271144
169361.0,0.0347994
169364.0,0.0455663
169369.0,0.0663305
169374.0,0.0876648
169378.0,0.0957412
169380.0,0.0973769
169383.0,0.0941126
169387.0,0.0820042
169396.0,0.04715
169399.0,0.036027
169402.0,0.0283287
169405.0,0.0225194
169408.0,0.0179306
169412.0,0.0142492
169416.0,0.0114407
169420.0,0.00907275
169425.0,0.00724243
169431.0,0.00576628
169437.0,0.00464047
169444.0,0.00370403
169452.0,0.00298252
169460.0,0.00242034
169470.0,0.00195749
169480.0,0.00160513
169492.0,0.00131548
169506.0,0.00106273
169521.0,8.66022E-4
169540.0,7.05542E-4
169559.0,5.86726E-4
169583.0,4.802E-4
169607.0,4.04849E-4
169641.0,3.29915E-4
169675.0,2.78385E-4
169718.0,2.33718E-4
169776.0,1.93065E-4
169842.0,1.62121E-4
169924.0,1.36316E-4
170023.0,1.15659E-4
170139.0,9.93943E-5
170303.0,8.39023E-5
170490.0,7.24024E-5
170743.0,6.21705E-5
171095.0,5.32886E-5
171528.0,4.66421E-5
171962.0,4.24489E-5
172612.0,3.86133E-5
173696.0,3.50399E-5
175430.0,3.25671E-5
178898.0,3.1089E-5
181498.0,3.0828E-5
199172.0,3.25457E-5
246527.0,4.04602E-5
262174.0,4.45764E-5
